date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:43:40	22805/22805	---MC-	200	added ('OK')	text/html	date:Thu,%2014%20Jun%202018%2014:13:40%20GMT	http://localhost:2786/rbsmtc/	F:/offline%20Webside/RBSMTC.in/localhost_2786/rbsmtc/index.html	(from )
19:43:41	1053/1053	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2014%20Jun%202018%2014:13:37%20GMT	http://localhost:2786/robots.txt		(from )
19:44:03	6421/6421	---M--	200	added ('OK')	text/css	etag:%221915-567996f72b940%22	http://localhost:2786/rbsmtc/index.css	F:/offline%20Webside/RBSMTC.in/localhost_2786/rbsmtc/index.css	(from http://localhost:2786/rbsmtc/)
19:44:07	23293/23293	---M-Z	200	added ('OK')	text/css	etag:%220925540a2a1d31:0%22	https://www.w3schools.com/w3css/4/w3.css	F:/offline%20Webside/RBSMTC.in/www.w3schools.com/w3css/4/w3.css	(from http://localhost:2786/rbsmtc/)
19:44:10	37045/37045	---M-Z	200	added ('OK')	application/javascript	etag:%221519106283%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js	F:/offline%20Webside/RBSMTC.in/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js	(from http://localhost:2786/rbsmtc/)
19:44:10	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%225a962b6e-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	F:/offline%20Webside/RBSMTC.in/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from http://localhost:2786/rbsmtc/)
19:44:10	1041/1041	---MC-	403	error ('Forbidden')	text/html	date:Thu,%2014%20Jun%202018%2014:14:10%20GMT	http://localhost:2786/rbsmtc/[favicon.ico](http://www.sitepoint.com/forums/view-source:http://www.pmob.co.uk/favicon.ico)	F:/offline%20Webside/RBSMTC.in/localhost_2786/rbsmtc/[favicon.ico](http_/www.sitepoint.com/forums/view-source_http_/www.pmob.co.uk/favicon.6.delayed	(from http://localhost:2786/rbsmtc/)
19:44:14	45829/45829	---M--	200	added ('OK')	image/png	etag:%22b305-567996f266e00%22	http://localhost:2786/rbsmtc/images/logo2.png	F:/offline%20Webside/RBSMTC.in/localhost_2786/rbsmtc/images/logo2.png	(from http://localhost:2786/rbsmtc/)
19:44:15	22805/22805	---MC-	200	added ('OK')	text/html	date:Thu,%2014%20Jun%202018%2014:14:14%20GMT	http://localhost:2786/rbsmtc/index.php	F:/offline%20Webside/RBSMTC.in/localhost_2786/rbsmtc/index-2.html	(from http://localhost:2786/rbsmtc/)
19:44:15	13051/13051	---MC-	200	added ('OK')	text/html	date:Thu,%2014%20Jun%202018%2014:14:14%20GMT	http://localhost:2786/rbsmtc/ADDMISSION.php	F:/offline%20Webside/RBSMTC.in/localhost_2786/rbsmtc/ADDMISSION.html	(from http://localhost:2786/rbsmtc/)
19:44:16	12753/12753	---MC-	200	added ('OK')	text/html	date:Thu,%2014%20Jun%202018%2014:14:15%20GMT	http://localhost:2786/rbsmtc/fee.php	F:/offline%20Webside/RBSMTC.in/localhost_2786/rbsmtc/fee.html	(from http://localhost:2786/rbsmtc/)
19:44:18	12962/12962	---MC-	200	added ('OK')	text/html	date:Thu,%2014%20Jun%202018%2014:14:16%20GMT	http://localhost:2786/rbsmtc/Scholarships.php	F:/offline%20Webside/RBSMTC.in/localhost_2786/rbsmtc/Scholarships.html	(from http://localhost:2786/rbsmtc/)
19:44:18	13484/13484	---MC-	200	added ('OK')	text/html	date:Thu,%2014%20Jun%202018%2014:14:16%20GMT	http://localhost:2786/rbsmtc/show.php	F:/offline%20Webside/RBSMTC.in/localhost_2786/rbsmtc/show.html	(from http://localhost:2786/rbsmtc/)
19:44:18	13817/13817	---MC-	200	added ('OK')	text/html	date:Thu,%2014%20Jun%202018%2014:14:18%20GMT	http://localhost:2786/rbsmtc/placement.php	F:/offline%20Webside/RBSMTC.in/localhost_2786/rbsmtc/placement.html	(from http://localhost:2786/rbsmtc/)
19:44:18	13355/13355	---MC-	200	added ('OK')	text/html	date:Thu,%2014%20Jun%202018%2014:14:18%20GMT	http://localhost:2786/rbsmtc/campus.php	F:/offline%20Webside/RBSMTC.in/localhost_2786/rbsmtc/campus.html	(from http://localhost:2786/rbsmtc/)
19:44:19	1199/1199	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2014%20Jun%202018%2014:14:18%20GMT	http://localhost:2786/rbsmtc/result.php	F:/offline%20Webside/RBSMTC.in/localhost_2786/rbsmtc/result.php	(from http://localhost:2786/rbsmtc/)
19:44:20	1199/1199	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2014%20Jun%202018%2014:14:19%20GMT	http://localhost:2786/rbsmtc/COMPLAINTS.php	F:/offline%20Webside/RBSMTC.in/localhost_2786/rbsmtc/COMPLAINTS.php	(from http://localhost:2786/rbsmtc/)
19:44:20	15039/15039	---MC-	200	added ('OK')	text/html	date:Thu,%2014%20Jun%202018%2014:14:20%20GMT	http://localhost:2786/rbsmtc/alumini.php	F:/offline%20Webside/RBSMTC.in/localhost_2786/rbsmtc/alumini.html	(from http://localhost:2786/rbsmtc/)
19:44:20	12146/12146	---MC-	200	added ('OK')	text/html	date:Thu,%2014%20Jun%202018%2014:14:20%20GMT	http://localhost:2786/rbsmtc/note.php	F:/offline%20Webside/RBSMTC.in/localhost_2786/rbsmtc/note.html	(from http://localhost:2786/rbsmtc/)
19:44:21	1363/1363	---M--	200	added ('OK')	text/html	date:Thu,%2014%20Jun%202018%2014:14:20%20GMT	http://localhost:2786/rbsmtc/register.php	F:/offline%20Webside/RBSMTC.in/localhost_2786/rbsmtc/register.html	(from http://localhost:2786/rbsmtc/)
19:44:21	2139/2139	---M--	200	added ('OK')	text/html	date:Thu,%2014%20Jun%202018%2014:14:21%20GMT	http://localhost:2786/rbsmtc/login.php	F:/offline%20Webside/RBSMTC.in/localhost_2786/rbsmtc/login.html	(from http://localhost:2786/rbsmtc/)
19:44:21	2193/2193	---M-Z	403	error ('Forbidden')	text/html	date:Thu,%2014%20Jun%202018%2014:14:19%20GMT	http://translate.google.com/translate_a/element.js?cb=googleTranslateElementInit	F:/offline%20Webside/RBSMTC.in/translate.google.com/translate_a/element.16a0d8.delayed	(from http://localhost:2786/rbsmtc/)
19:44:43	187650/187650	---M--	200	added ('OK')	image/jpeg	etag:%222dd02-567996f266e00%22	http://localhost:2786/rbsmtc/images/san.jpg	F:/offline%20Webside/RBSMTC.in/localhost_2786/rbsmtc/images/san.jpg	(from http://localhost:2786/rbsmtc/)
19:44:49	271313/271313	---M--	200	added ('OK')	image/jpeg	etag:%22423d1-567996f07e980%22	http://localhost:2786/rbsmtc/images/1.jpg	F:/offline%20Webside/RBSMTC.in/localhost_2786/rbsmtc/images/1.jpg	(from http://localhost:2786/rbsmtc/)
19:44:52	60522/60522	---M--	200	added ('OK')	image/jpeg	etag:%22ec6a-567996f172bc0%22	http://localhost:2786/rbsmtc/images/f.jpg	F:/offline%20Webside/RBSMTC.in/localhost_2786/rbsmtc/images/f.jpg	(from http://localhost:2786/rbsmtc/)
19:45:01	93280/93280	---M--	200	added ('OK')	image/jpeg	etag:%2216c60-567996f172bc0%22	http://localhost:2786/rbsmtc/images/f2.jpg	F:/offline%20Webside/RBSMTC.in/localhost_2786/rbsmtc/images/f2.jpg	(from http://localhost:2786/rbsmtc/)
19:45:03	54388/54388	---M--	200	added ('OK')	image/jpeg	etag:%22d474-567996f172bc0%22	http://localhost:2786/rbsmtc/images/f1.jpg	F:/offline%20Webside/RBSMTC.in/localhost_2786/rbsmtc/images/f1.jpg	(from http://localhost:2786/rbsmtc/)
19:45:07	68219/68219	---M--	200	added ('OK')	image/jpeg	etag:%2210a7b-567996f07e980%22	http://localhost:2786/rbsmtc/images/birds1.jpg	F:/offline%20Webside/RBSMTC.in/localhost_2786/rbsmtc/images/birds1.jpg	(from http://localhost:2786/rbsmtc/)
19:45:07	1199/1199	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2014%20Jun%202018%2014:15:06%20GMT	http://localhost:2786/rbsmtc/images/s1.jpg	F:/offline%20Webside/RBSMTC.in/localhost_2786/rbsmtc/images/s1.1d.delayed	(from http://localhost:2786/rbsmtc/)
19:45:15	3114/3114	---M--	200	added ('OK')	image/gif	date:Thu,%2014%20Jun%202018%2014:15:05%20GMT	https://www.counter12.com/img-0b530Z24y7aa39dc-24.gif	F:/offline%20Webside/RBSMTC.in/www.counter12.com/img-0b530Z24y7aa39dc-24.gif	(from http://localhost:2786/rbsmtc/)
19:47:11	1594833/1594833	---M--	200	added ('OK')	image/jpeg	etag:%221855d1-5489b5e7e0080%22	http://localhost:2786/rbsmtc/images/sss.jpg	F:/offline%20Webside/RBSMTC.in/localhost_2786/rbsmtc/images/sss.jpg	(from http://localhost:2786/rbsmtc/)
19:49:08	0/0	UR-M-Z	416	error ('Requested%20range%20not%20satisfiable')	text/javascript	date:Fri,%2024%20Mar%202017%2020:55:54%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.2.1/jquery.min.js	F:/offline%20Webside/RBSMTC.in/ajax.googleapis.com/ajax/libs/jquery/3.2.1/jquery.min.js	(from http://localhost:2786/rbsmtc/)
19:51:07	4906914/4906914	---M--	200	added ('OK')	image/jpeg	etag:5a87bda9635e9b0f2d9359143c260963	https://upload.wikimedia.org/wikipedia/commons/b/bd/Emmanuel_College_Front_Court%2C_Cambridge%2C_UK_-_Diliff.jpg	F:/offline%20Webside/RBSMTC.in/upload.wikimedia.org/wikipedia/commons/b/bd/Emmanuel_College_Front_Court,_Cambridge,_UK_-_Diliff.jpg	(from http://localhost:2786/rbsmtc/)
19:51:10	8314/8314	---M--	200	added ('OK')	image/png	etag:%22207a-56982a9641a0d%22	http://localhost:2786/rbsmtc/img/A9.png	F:/offline%20Webside/RBSMTC.in/localhost_2786/rbsmtc/img/A9.png	(from http://localhost:2786/rbsmtc/login.php)
19:51:12	1399/1399	---M--	200	added ('OK')	text/html	date:Thu,%2014%20Jun%202018%2014:21:04%20GMT	https://www.counter12.com/ad.js?id=0b530Z24y7aa39dc	F:/offline%20Webside/RBSMTC.in/www.counter12.com/adc19c.js	(from http://localhost:2786/rbsmtc/)
19:51:22	121200/121200	---M-Z	200	added ('OK')	text/css	etag:%221519106275%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	F:/offline%20Webside/RBSMTC.in/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	(from http://localhost:2786/rbsmtc/)
19:55:31	0/0	UR-M-Z	416	error ('Requested%20range%20not%20satisfiable')	text/javascript	date:Fri,%2024%20Mar%202017%2020:55:54%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.2.1/jquery.min.js	F:/offline%20Webside/RBSMTC.in/ajax.googleapis.com/ajax/libs/jquery/3.2.1/jquery.min.js	(from https://ajax.googleapis.com/ajax/libs/jquery/3.2.1/jquery.min.js)
